0,1,2
1,良性高血压血压升高的主要因素是,答案:B:细小动脉壁玻璃样变
2,慢性炎症组织内浸润的细胞主要是,答案:A:淋巴细胞
3,伤寒小结中的伤寒细胞来源于,答案:B:单核细胞
4,流行性脑脊髓膜炎的病原体是,答案:B:细菌
5,来源于间叶组织的肿瘤是,答案:D:骨软骨瘤
6,很少发展为慢性硬化性肾小球肾炎的是,答案:D:链球菌感染后肾小球肾炎
7,肝癌的组织学类型，最多见的是,答案:A:肝细胞癌
8,日本血吸虫童虫引起人体下列哪个部位的损害最明显,答案:B:肺
9,中晚期食管癌最常见的肉眼形态是,答案:B:形成较深的溃疡缺损
10,在某些条件下，细菌缺少哪种成分仍可能生存?,答案:B:细胞壁
11,甲型流感病毒分亚型的依据是 ?,答案:D:HA、NA
12,感染宿主后，表现伴随免疫的寄生虫是 ?,答案:C:日本血吸虫
13,人兽共患寄生虫病中的动物宿主，在人体寄生虫病的流行病学上，它是寄生虫的 ?,答案:C:保虫宿主
14,含有布氏姜片虫囊蚴的水生植物称为 ?,答案:A:植物媒介
15,溶组织内阿米巴生活史的基本环节是 ?,答案:A:包囊—滋养体—包囊
16,在蚊体内既发育又增殖的是 ?,答案:A:疟原虫
17,蠕形螨感染最多的部位是 ?,答案:C:颜面部
18,人被可疑病犬咬伤后，采取的措施不包括?,答案:D:注射干扰素
19,如肩胛骨固定，两侧胸锁乳突肌同时收缩,答案:E:使头后仰
20,不能伸肘关节是哪块肌肉瘫痪,答案:B:肱三头肌
21,临床上称前尿道的是,答案:C:海绵体部
22,冠状窦注入,答案:E:右心房
23,内囊膝,答案:A:含有皮质核束
24,切断授乳动物下丘脑与垂体的联系后，催乳素的分泌将,答案:C:增加
25,胰高血糖素的生理作用是,答案:B:促进脂肪分解，使酮体生成增多
26,地方性甲状腺肿的主要发病原因是,答案:E:食物中缺少碘
27,心脏收缩力增强时，静脉回心血量增加，这是因为,答案:D:舒张期室内压低
28,阴部神经兴奋时,答案:C:尿道外括约肌收缩
29,血浆中肾素增加，将引起增加的是,答案:B:细胞外液容积
30,关于丘脑的感觉接替核，下列论述哪一项是错误的?,答案:C:下肢感觉在后腹核内侧，头面部在外侧
31,引起排卵发生的最为关键性因素是,答案:D:LH高峰
32,下列有关肾上腺髓质激素生理作用的叙述，正确的是,答案:E:骨骼肌血管舒张
33,轻度高血钾引起心肌兴奋性升高的原因是,答案:A:静息电位绝对值减小，距阈电位水平的差距缩小
34,下列哪项不会造成蛋白质的变性?,答案:D:氯化钠
35,下列具有抗氧化性质的是(),答案:A:谷胱甘肽
36,DNA的生物合成的方式包括下列哪项?,答案:D:ABC都是
37,真核细胞成熟mRNA中，不含有()的序列,答案:B:内含子
38,下列不属于必需脂肪酸衍生物的是(),答案:C:组织胺
39,细胞色素氧化酶是(),答案:C:aa3
40,α-酮戊二酸脱氢酶复合体属于(),答案:D:多酶体系
41,核酸的增色效应的本质在于变性后，()暴露了出来。,答案:D:碱基
42,药物的常用量是指,答案:C:大于最小有效量但小于极量之间的剂量
43,一级动力学消除的药物其血浆半衰期长短,答案:E:固定不变
44,具有内在拟交感活性的药物是,答案:D:吲哚洛尔
45,局麻药产生局麻作用的机理是,答案:E:阻滞钠离子内流
46,普鲁卡因不宜用于,答案:A:表面麻醉
47,代谢产物可引发惊厥的药物是,答案:C:哌替啶
48,下列糖皮质激素的临床用途中错误的是,答案:B:活动性消化性溃疡
49,下列哪项是引起胰岛素急性耐受性的诱因,答案:E:以上都是
50,大环内酯类抗生素对下列哪类细菌无效,答案:E:大肠杆菌
51,实验动物新生期切除胸腺后?,答案:E:细胞免疫功能缺乏，体液免疫功能受损
52,关于CD21分子的叙述，哪项是错误的?,答案:C:与BCR构成复合物，参与B细胞对抗原的特异性识别
53,哪些受体同时被交联可抑制B细胞的增殖?,答案:B:BCR和FcγRⅡ-B
54,在维持对肿瘤细胞免疫应答的免疫记忆中起重要作用的是?,答案:D:CD8+Tc细胞
55,下列关于NK细胞杀瘤的叙述，错误的是?,答案:D:可依赖补体，通过CDC方式杀瘤
56,HLA复合体基因不编码?,答案:B:HLA-I类分子的轻链(β2m)
57,既可来源于髓系祖细胞，又可来源于淋巴系祖细胞的免疫细胞是?,答案:D:树突状细胞
58,下列不属于免疫复合物病的是?,答案:A:自身免疫性溶血性贫血
59,关于骨组织的特点，哪项错误,答案:E:骨盐的主要成分为氯化钠
60,呼吸系统的导气部始于鼻，止于,答案:D:终末细支气管
61,不具有吞噬功能的细胞是,答案:E:II型肺泡细胞
62,生精细胞中位于基底室的是,答案:A:精原细胞
63,疏松结缔组织中最常见的细胞是,答案:E:成纤维细胞
64,红细胞脱去细胞核发生在,答案:D:晚幼红细胞
65,睫状小带的两端分别连接,答案:D:晶状体和睫状体
66,肤色深浅取决于,答案:C:黑素颗粒的量和分布
67,关于环层小体以下哪项正确,答案:B:感受压觉和振动觉
68,血-胸腺屏障的血管周隙中含有,答案:C:巨噬细胞
69,可分泌抗体的细胞是,答案:C:浆细胞
70,关于血-胸腺屏障的特征，错误的是,答案:B:位于胸腺髓质及皮质
71,男性患者，36岁。间断腹泻、脓血便5年，复发1个月。口服抗生素无缓解。结肠镜检査示:直肠和乙状结肠弥漫充血、水肿，黏膜粗颗粒样改变，脆，易出血。其黏膜活检可能的病理发现是(),答案:D:隐窝脓肿
72,女性，60岁，慢性支气管炎近10年，近3年来感觉气短、胸闷、呼吸困难。査体:桶状胸，胸廓呼吸运动减弱;叩诊呈过清音，心浊音界缩小，I 下降;听诊呼吸音减弱。不符合该患者疾病的描述是(),答案:D:肺间质广泛纤维化
73,男性，38岁，10多年来，反酸、暧气、上腹部饱胀，伴有规律性上腹痛，空腹发作，夜间更重，进食可缓解。胃镜检查，十二指肠球部可见直径约1cm的圆形溃疡。不符合该患者疾病的描述是,答案:D:易发生癌变
74,小明因车祸造成脑脊液鼻漏，由鼻腔持续流出清亮水样脑脊液。脑脊液外溢是因车祸导致( )骨折，撕裂其周围被覆的硬脑膜和蛛网膜。,答案:B:筛骨
75,小明因头痛、鼻塞、咽喉疼痛不适，伴有持续性低热、粘稠脓性鼻涕和嗅觉障碍入院诊治，经医生诊断为慢性鼻窦炎，需用1%的麻黄素生理盐水滴鼻，收缩鼻腔黏膜进行鼻窦引流，鼻旁窦引流最为困难的一组鼻旁窦是( ),答案:E:上颌窦
76,李小明，男性，17岁。颜面浮肿15天，血尿、进行性少尿3天入院。查体:T 36.9℃，P 90次/分，R 24次/分，BP 145/80mmHg。发育正常，营养中等，重病容，精神差，眼睑浮肿，结膜稍苍白，巩膜无黄染。心肺无异常。肋下肝脾未触及，肠鸣音存在，肾区有轻微叩击痛。辅助检查: 化验尿蛋白(++++)，潜血(++)余正常，血常规正常，诊断:急性肾小球肾炎合并肾功不全。尿中血细胞和蛋白尿排出体外要流经肾盂，在肾门处肾盂、肾动脉和肾静脉的排列关系正确的是( ),答案:B:自前向后依次是肾静脉、动脉和肾盂
77,患者男性，57岁，退休工人。因进行性排尿困难5年，急性尿潴留4小时急诊入院。患者自5年前开始小便次数增多，夜间显著，后逐渐加重，且排尿迟缓，断续，尿后滴沥，近来感排尿费力，射程缩短，尿线细无力，呈滴沥状;4小时前开始不能排尿、腹痛而就诊。检查见:下腹膨胀，体温正常，心率稍快;给予导尿后直肠指诊可触到增大的前列腺，其表面光滑，质韧，有弹性，前列腺沟已消失。X线检查未发现膀胱内有结石。诊断为:良性前列腺肥大并急性尿潴留。前列腺沟位于前列腺( ),答案:C:后叶
78,小明因肛周脓肿手术需要注射利多卡因进行骶管麻醉，确定注射药物部位的骨性标志是,答案:C:骶角
79,一位反复患口腔溃疡患者，下列关于该症状的描述和治疗下列说法错误的是:,答案:A:该患者是缺乏维生素
80,女性患者，35岁，因夫妻吵架喝下几口有机磷农药(敌百虫)，被制止后送往附近医院，此时患者出现恶心、呕吐、腹痛、多汗、胸闷气急、心率加快、视觉模糊、部分肌肉抽搐。医生在迅速给予彻底洗胃外，常用的解毒药物是,答案:B:阿托品和胆碱酯酶复活剂
81,帕金森患者出现震颤麻痹是由于,答案:D:多巴胺神经递质系统功能受损
82,某久病卧床患者突然起床时感觉头晕、眼前发黑，其主要的生理机制为,答案:A:回心血量减少
83,田某，男，47岁，因心前区剧痛入院，诊断为心肌梗死，查体显示某血清酶学指标提示心肌细胞受损。则这个血清酶学指标不可能是,答案:B:LDH5
84,李某，男，69岁，慢性乙肝25年，肝硬化6年，因昏迷入院，经抢救后苏醒。患者意识淡漠，认知能力差，不能说出自己姓名，不认识亲人，不能回答任何问题，经常陷入昏睡状态。查得血氨浓度为550umol/L，请问为缓解患者脑部症状，降低脑中氨浓度，应当给患者使用以下何种药物?,答案:E:谷氨酸钠
85,李某，因尿路感染入院，给予磺胺治疗。请问，磺胺抑制细菌繁殖的机制为()抑制,答案:A:竞争性
86,患儿八岁，智商50，提示智力低下，家属诉患儿从小小便有霉味、鼠尿味，查得血液中苯丙氨酸浓度为54mg/ml(正常值低于20mg/ml)，另外尿中苯丙氨酸、苯丙酮酸均增高。请问该患者为苯丙氨酸代谢障碍导致的何种疾病?,答案:C:苯丙酮酸尿症
87,一肾脏移植患者，术后一切正常，三个月后出现体温升高。肾移植一侧胀痛，尿量减少，病人可能是?,答案:C:慢性排斥反应
88,某建筑工人在工地上干活时，不慎从被生锈的铁丝刺伤手掌而就诊。医生询问病史后，立即为他做了清创处理。并告诉患者，为预防破伤风，需注射破伤风抗毒素。医生先让他先去做皮试，结果皮试阳性，请问该如何处理?,答案:E. 采用小剂量、短间隔连续注射的脱敏疗法
